Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Décolleté donna in pelle blu notte d100z,d100z,donna,decollete,Décolleté,notte,129.9,129.9
Sneakers donna in camoscio e pelle blu r25542w,r25542w,donna,sneakers,Sneakers,blu,104.93,149.9
Sneakers in pelle e camoscio beige coco r25549w,r25549w,donna,sneakers,Sneakers,coco,111.93,159.9
Sneakers donna in camoscio e pelle beige daino r25731w,r25731w,donna,sneakers,Sneakers,daino,115.5,165.0
Sneakers donna in pelle nero r25550w,r25550w,donna,sneakers,Sneakers,nero,104.93,149.9
Sneakers donna in pelle e camoscio topo r25552,r25552,donna,sneakers,Sneakers,topo,115.5,165.0
Sneakers donna in camoscio blu navy r25656w,r25656w,donna,sneakers,Sneakers,navy,108.5,155.0
Sneakers mocassino donna in camoscio arancio r20087,r20087,donna,sneakers,Sneakers,arancio,149.9,149.9
Sneakers donna in pelle nero k55439,k55439,donna,sneakers,Sneakers,nero,69.93,99.9
Sneakers donna in vernice e camoscio taope k55438,k55438,donna,sneakers,Sneakers,taope,76.93,109.9
Sneakers donna in vernice e camoscio nero k55438,k55438,donna,sneakers,Sneakers,nero,76.93,109.9
Sneakers donna in vernice e camoscio nero k55441,k55441,donna,sneakers,Sneakers,nero,69.93,99.9
Sneakers donna in vernice e camoscio beige k55441,k55441,donna,sneakers,Sneakers,beige,69.93,99.9
Sneakers mocassino donna in pelle latte r20088,r20088,donna,sneakers,Sneakers,latte,159.9,159.9
Sneakers in pelle e camoscio nero r25549w,r25549w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in camoscio sigaro k35314,k35314,donna,sneakers,Sneakers,sigaro,90.93,129.9
Sneakers donna in vernice nero k35314,k35314,donna,sneakers,Sneakers,nero,90.93,129.9
Sneakers donna in camoscio e pelle nero r25731w,r25731w,donna,sneakers,Sneakers,nero,115.5,165.0
Sneakers donna in vernice acero r25656w,r25656w,donna,sneakers,Sneakers,acero,111.93,159.9
Sneakers donna in pelle e camoscio blu navy r25655w,r25655w,donna,sneakers,Sneakers,navy,111.93,159.9
Sneakers donna in pelle e camoscio marrone r25655w,r25655w,donna,sneakers,Sneakers,marrone,111.93,159.9
Sneakers donna in pelle e camoscio topo r25655w,r25655w,donna,sneakers,Sneakers,topo,111.93,159.9
Sneakers donna in pelle e camoscio nero r25655w,r25655w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in camoscio marrone r25653w,r25653w,donna,sneakers,Sneakers,marrone,108.5,155.0
Sneakers donna in camoscio nero r25653w,r25653w,donna,sneakers,Sneakers,nero,108.5,155.0
Sneakers donna in vernice e pelle nero r25643w,r25643w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in vernice e camoscio bordo r25642w,r25642w,donna,sneakers,Sneakers,bordo,111.93,159.9
Sneakers donna in vernice e camoscio nero r25642w,r25642w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in vernice e camoscio marrone r25642w,r25642w,donna,sneakers,Sneakers,marrone,111.93,159.9
Sneakers donna in vernice e pelle nero r25641w,r25641w,donna,sneakers,Sneakers,nero,111.93,159.9
Sneakers donna in vernice e camoscio moro r25641w,r25641w,donna,sneakers,Sneakers,moro,111.93,159.9
Sneakers donna in pelle cuoio r25634w,r25634w,donna,sneakers,Sneakers,cuoio,111.93,159.9
Sneakers donna in camoscio topo r25634w,r25634w,donna,sneakers,Sneakers,topo,111.93,159.9
