Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Ballerina con Strass D882 Suede Nero,con,donna,ballerine,ballerina,Nero,63.9,79.9,20.0,Duelune
Ballerina con Strass D882 Suede Cuoio,con,donna,ballerine,ballerina,Cuoio,63.9,79.9,20.0,Duelune
Ballerina A885 Nude Nero,A885,donna,ballerine,ballerina,Nero,55.9,79.9,30.0,Duelune
Ballerina A885 Vernice Nero,A885,donna,ballerine,ballerina,Nero,55.9,79.9,30.0,Duelune
Ballerina Friulana A829 Nero,Friulana,donna,ballerine,ballerina,Nero,48.9,69.9,30.0,Duelune
Ballerina Friulana A829 Grigio,Friulana,donna,ballerine,ballerina,Grigio,48.9,69.9,30.0,Duelune
Ballerina Friulana A829 Giallo,Friulana,donna,ballerine,ballerina,Giallo,48.9,69.9,30.0,Duelune
Ballerina Friulana A829 Arancione,Friulana,donna,ballerine,ballerina,Arancione,48.9,69.9,30.0,Duelune
Ballerina Friulana A829 Corallo,Friulana,donna,ballerine,ballerina,Corallo,48.9,69.9,30.0,Duelune
Ballerina A869 Nero,A869,donna,ballerine,ballerina,Nero,38.4,54.9,30.0,Duelune
Ballerina A887 Nero,A887,donna,ballerine,ballerina,Nero,55.9,79.9,30.0,Duelune
Ballerina A892 Cuoio,A892,donna,ballerine,ballerina,Cuoio,55.9,79.9,30.0,Duelune
Ballerina A892 Nero,A892,donna,ballerine,ballerina,Nero,55.9,79.9,30.0,Duelune
Ballerina A892 Salvia,A892,donna,ballerine,ballerina,Salvia,55.9,79.9,30.0,Duelune
Ballerina A889 Nero,A889,donna,ballerine,ballerina,Nero,55.9,79.9,30.0,Duelune
Ballerina A889 Platino,A889,donna,ballerine,ballerina,Platino,55.9,79.9,30.0,Duelune
Ballerina A891 Rosso,A891,donna,ballerine,ballerina,Rosso,62.9,89.9,30.0,Duelune
Ballerina A891 Giallo,A891,donna,ballerine,ballerina,Giallo,62.9,89.9,30.0,Duelune
Ballerina A849 Rosa,A849,donna,ballerine,ballerina,Rosa,59.9,59.9,0.0,Duelune
Ballerina A849 Rosso,A849,donna,ballerine,ballerina,Rosso,59.9,59.9,0.0,Duelune
Ballerina A849 Blu,A849,donna,ballerine,ballerina,Blu,59.9,59.9,0.0,Duelune
Ballerina A849 Nero,A849,donna,ballerine,ballerina,Nero,59.9,59.9,0.0,Duelune
Ballerina A849 Lilla,A849,donna,ballerine,ballerina,Lilla,59.9,59.9,0.0,Duelune
Ballerina Sabot A886 Fuxia Rosa,Sabot,donna,ballerine,ballerina,Rosa,55.9,79.9,30.0,Duelune
Ballerina Sabot A886 Nero,Sabot,donna,ballerine,ballerina,Nero,55.9,79.9,30.0,Duelune
Sandalo con tacco A3680 Nero,con,donna,sandali,sandalo,Nero,79.9,99.9,20.0,Duelune
Sandalo con tacco A3680 Cipria,con,donna,sandali,sandalo,Cipria,79.9,99.9,20.0,Duelune
Sandalo con tacco A3675 Nude,con,donna,sandali,sandalo,Nude,79.9,99.9,20.0,Duelune
Sandalo con tacco A3675 Nero,con,donna,sandali,sandalo,Nero,79.9,99.9,20.0,Duelune
Slingback A5730 Cuoio,A5730,donna,sandali,slingback,Cuoio,45.0,79.9,44.0,Duelune
Slingback A5730 Nero,A5730,donna,sandali,slingback,Nero,45.0,79.9,44.0,Duelune
Sandalo Sabot A5732 Camoscio Cuoio,Sabot,donna,sandali,sandalo,Cuoio,55.0,84.9,35.0,Duelune
Sandalo Sabot A5732 Camoscio Blu,Sabot,donna,sandali,sandalo,Blu,55.0,84.9,35.0,Duelune
Slingback A3665 Camoscio Blu,A3665,donna,sandali,slingback,Blu,35.0,74.9,53.0,Duelune
Slingback A3665 Spazzolato Argento,A3665,donna,sandali,slingback,Argento,35.0,74.9,53.0,Duelune
Sandalo con tacco A6726 Suede Arancio,con,donna,sandali,sandalo,Arancio,99.9,99.9,0.0,Duelune
Sandalo con tacco A6726 Suede Fuxia,con,donna,sandali,sandalo,Fuxia,99.9,99.9,0.0,Duelune
Sandalo con tacco A6726 Nero,con,donna,sandali,sandalo,Nero,99.9,99.9,0.0,Duelune
Sandalo con tacco A6726 Platino,con,donna,sandali,sandalo,Platino,99.9,99.9,0.0,Duelune
Sandalo con tacco A6725 Rame,con,donna,sandali,sandalo,Rame,99.9,99.9,0.0,Duelune
Sandalo con tacco A6725 Argento,con,donna,sandali,sandalo,Argento,99.9,99.9,0.0,Duelune
Sandalo con tacco A6710 Giallo,con,donna,sandali,sandalo,Giallo,99.9,99.9,0.0,Duelune
Sandalo con tacco A6711 Fuxia,con,donna,sandali,sandalo,Fuxia,99.9,99.9,0.0,Duelune
Sandalo con tacco A6712 Nero Bianco,con,donna,sandali,sandalo,Bianco,99.9,99.9,0.0,Duelune
Sandalo con tacco A6712 Arancio,con,donna,sandali,sandalo,Arancio,99.9,99.9,0.0,Duelune
Sandalo con tacco A6713 Argento,con,donna,sandali,sandalo,Argento,99.9,99.9,0.0,Duelune
Sandalo con tacco A6713 Pitone Oro,con,donna,sandali,sandalo,Oro,99.9,99.9,0.0,Duelune
Sandalo con tacco A3660 Nero,con,donna,sandali,sandalo,Nero,37.45,74.9,50.0,Duelune
Sandalo con tacco A3660 Nude,con,donna,sandali,sandalo,Nude,37.45,74.9,50.0,Duelune
Sandalo con tacco A955 Fuxia,con,donna,sandali,sandalo,Fuxia,60.0,84.9,29.0,Duelune
Sandalo con tacco A955 Nero Bianco,con,donna,sandali,sandalo,Bianco,60.0,84.9,29.0,Duelune
Sandalo con tacco A955 Acquamarina,con,donna,sandali,sandalo,Acquamarina,60.0,84.9,29.0,Duelune
Sandalo con tacco A1010 Nero,con,donna,sandali,sandalo,Nero,70.0,89.9,22.0,Duelune
Sandalo con tacco A1010 Fuxia,con,donna,sandali,sandalo,Fuxia,70.0,89.9,22.0,Duelune
Sandalo con tacco A1011 Nero,con,donna,sandali,sandalo,Nero,75.0,99.9,25.0,Duelune
