Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Décolleté slingback donna in pelle nero e1301z,e1301z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna cinturino incrociato in tessuto pelle nude e1631zv,e1631zv,donna,decollete,decollete,nude,159.9,159.9,0.0,Melluso
Décolleté donna cinturino incrociato in pelle nero e1631zv,e1631zv,donna,decollete,decollete,nero,159.9,159.9,0.0,Melluso
Décolleté donna in pelle blu abyss d175z,d175z,donna,decollete,decollete,abyss,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle nero d179z,d179z,donna,decollete,decollete,nero,139.9,139.9,0.0,Melluso
Décolleté donna in pelle beige kiss d179z,d179z,donna,decollete,decollete,kiss,139.9,139.9,0.0,Melluso
Décolleté donna slingback in pelle bianco milk d179z,d179z,donna,decollete,decollete,milk,139.9,139.9,0.0,Melluso
Décolleté donna cinturino incrociato in tessuto pelle wash platino e1631zv,e1631zv,donna,decollete,decollete,platino,169.9,169.9,0.0,Melluso
Décolleté donna slingback in pelle rosa contour e1634zv,e1634zv,donna,decollete,decollete,contour,169.9,169.9,0.0,Melluso
Décolleté donna slingback in pelle blu abyss e1634zv,e1634zv,donna,decollete,decollete,abyss,159.9,159.9,0.0,Melluso
Décolleté donna slingback in tessuto galassia platino e1634zv,e1634zv,donna,decollete,decollete,platino,159.9,159.9,0.0,Melluso
Décolleté donna slingback in pelle wash argento e1634zv,e1634zv,donna,decollete,decollete,argento,169.9,169.9,0.0,Melluso
Décolleté donna slingback in pelle platino e1634zv,e1634zv,donna,decollete,decollete,platino,169.9,169.9,0.0,Melluso
Décolleté donna slingback in pelle nero e1634zv,e1634zv,donna,decollete,decollete,nero,159.9,159.9,0.0,Melluso
Décolleté donna slingback in tessuto galassia notte e1634zv,e1634zv,donna,decollete,decollete,notte,159.9,159.9,0.0,Melluso
Décolleté donna slingback in pelle nude e1634zv,e1634zv,donna,decollete,decollete,nude,159.9,159.9,0.0,Melluso
Décolleté donna slingback in pelle bianco e1634zv,e1634zv,donna,decollete,decollete,bianco,159.9,159.9,0.0,Melluso
Décolleté donna slingback in pelle rosa glicine e1634zv,e1634zv,donna,decollete,decollete,glicine,118.93,169.9,30.0,Melluso
Décolleté donna slingback in pelle harrods blu abyss e1634zv,e1634zv,donna,decollete,decollete,abyss,111.93,159.9,30.0,Melluso
Décolleté donna slingback in pelle verde acid e1634zv,e1634zv,donna,decollete,decollete,acid,118.93,169.9,30.0,Melluso
Décolleté donna slingback in tessuto azzurro cielo e1634w,e1634w,donna,decollete,decollete,cielo,111.93,159.9,30.0,Melluso
