Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Stivale con tacco D8086 Nero,con,donna,stivali,Stivale,Nero,103.9,129.9
Stivale Bikers D1025 Nero,Bikers,donna,stivali,Stivale,Nero,111.9,139.9
Stivale D8025 Verde,D8025,donna,stivali,Stivale,Verde,100.8,144.9
Stivale D8025 Nero,D8025,donna,stivali,Stivale,Nero,100.8,144.9
Stivale D296 Nero,D296,donna,stivali,Stivale,Nero,97.9,139.9
Stivale D296 Nabuk Ruggine,D296,donna,stivali,Stivale,Ruggine,97.9,139.9
Stivale D7844EL Bordeaux,D7844EL,donna,stivali,Stivale,Bordeaux,94.9,134.9
Stivale D7844EL Nero,D7844EL,donna,stivali,Stivale,Nero,94.9,134.9
Stivale Texano D7381 Nero,Texano,donna,stivali,Stivale,Nero,76.9,109.9
Stivale Texano D7381 Cuoio,Texano,donna,stivali,Stivale,Cuoio,76.9,109.9
Stivale Texano D7381 Testa di Moro,Texano,donna,stivali,Stivale,Moro,76.9,109.9
Stivale Texano D7382 Nero,Texano,donna,stivali,Stivale,Nero,76.9,109.9
Stivale Overknee D333 Suede Testa di moro,Overknee,donna,stivali,Stivale,moro,87.9,109.9
Stivale Overknee D333 Suede Camel,Overknee,donna,stivali,Stivale,Camel,87.9,109.9
Stivale Overknee D333 Suede Blu,Overknee,donna,stivali,Stivale,Blu,87.9,109.9
Stivale Cavallerizzo D34L Testa di Moro,Cavallerizzo,donna,stivali,Stivale,Moro,83.9,104.9
Stivale con tacco D978 Blu,con,donna,stivali,Stivale,Blu,95.9,119.9
Stivale con tacco D978 Marrone,con,donna,stivali,Stivale,Marrone,95.9,119.9
Stivale con tacco D978 Nero,con,donna,stivali,Stivale,Nero,95.9,119.9
Stivale Texano con tacco D943L Verdone,Texano,donna,stivali,Stivale,Verdone,94.4,134.9
Stivale Texano con tacco D943S Nero,Texano,donna,stivali,Stivale,Nero,94.4,134.9
Stivale Texano con tacco D943S Bordeaux,Texano,donna,stivali,Stivale,Bordeaux,94.4,134.9
Stivale Texano con tacco D943S Marrone,Texano,donna,stivali,Stivale,Marrone,94.4,134.9
Stivale con tacco D5735 Rosa,con,donna,stivali,Stivale,Rosa,83.9,119.9
Stivale D7580 Nero,D7580,donna,stivali,Stivale,Nero,71.9,119.9
Stivale D7579 Nero,D7579,donna,stivali,Stivale,Nero,77.9,129.9
Stivale con Strass D7296 Nero,con,donna,stivali,Stivale,Nero,90.9,129.9
Stivale Chelsea Anfibio D318 Nero,Chelsea,donna,stivali,Stivale,Nero,76.9,109.9
Stivale Chelsea Anfibio D314 Nero,Chelsea,donna,stivali,Stivale,Nero,76.9,109.9
Ballerina A707 Suede Testa di Moro,A707,donna,ballerine,Ballerina,Moro,89.9,89.9
Ballerina A707 Nero,A707,donna,ballerine,Ballerina,Nero,89.9,89.9
Ballerina Mocassino D890 Suede Cuoio,Mocassino,donna,ballerine,Ballerina,Cuoio,63.9,79.9
Ballerina Mocassino D890 Nero,Mocassino,donna,ballerine,Ballerina,Nero,63.9,79.9
Ballerina A708 Nero,A708,donna,ballerine,Ballerina,Nero,89.9,89.9
Ballerina A708 Beige,A708,donna,ballerine,Ballerina,Beige,89.9,89.9
Ballerina con Strass D882 Suede Nero,con,donna,ballerine,Ballerina,Nero,63.9,79.9
Ballerina con Strass D882 Suede Cuoio,con,donna,ballerine,Ballerina,Cuoio,63.9,79.9
Ballerina A885 Nude Nero,A885,donna,ballerine,Ballerina,Nero,55.9,79.9
Ballerina A885 Vernice Nero,A885,donna,ballerine,Ballerina,Nero,55.9,79.9
Ballerina Friulana A829 Nero,Friulana,donna,ballerine,Ballerina,Nero,48.9,69.9
Ballerina Friulana A829 Grigio,Friulana,donna,ballerine,Ballerina,Grigio,48.9,69.9
Ballerina Friulana A829 Giallo,Friulana,donna,ballerine,Ballerina,Giallo,48.9,69.9
Ballerina Friulana A829 Arancione,Friulana,donna,ballerine,Ballerina,Arancione,48.9,69.9
Ballerina Friulana A829 Corallo,Friulana,donna,ballerine,Ballerina,Corallo,48.9,69.9
